,Unnamed: 0,department,division,position_title,city,gender,ethnicity,education,veteran_status,startyear,birthyear,tenure,age
1928,1928,City Planning,Planning - Bldg Constr,"Permits Specialist,Senior",Chesapeake,Male,Black,Some College,Not a Veteran,2017,1963,6,60
1929,1929,Human Services,Hum Svc Juvenile Detention Ctr,Business Manager,Suffolk,Female,White,Associate Degree,Not a Veteran,2017,1970,6,53
1930,1930,Transit,Transit - Transportation,Engineering Technician IV,Chesapeake,Male,Black,Technical School,Not a Veteran,2015,1985,8,38
1931,1931,Utilities,Utilities Water Accounts,Account Representative,Norfolk,Female,Black,Some College,Not a Veteran,2020,1995,3,28
1932,1932,Norfolk Community Services Board,Shelter and Support Services,Case Manager III,Virginia Beach,Female,White,Bachelors Level Degree,Not a Veteran,2022,1992,1,31
1933,1933,Public Works,PW Storm Water Mgmt,Maintenance Worker II,Norfolk,Male,Black,Some College,Not a Veteran,2022,1992,1,31
1934,1934,Transit,Transit - Transportation,Traffic Signal Technician IV,Virginia Beach,Male,Black,Associate Degree,Not a Veteran,2016,1976,7,47
1935,1935,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff (Senior),Suffolk,Male,Black,Not Indicated,Not a Veteran,1989,1961,34,62
1936,1936,Utilities,Utilities Water Accounts,Staff Technician II,Virginia Beach,Female,Black,Not Indicated,Not a Veteran,2014,1982,9,41
1937,1937,Police,Police Administration - Sworn,Police Lieutenant,Virginia Beach,Male,White,Not Indicated,Not a Veteran,1997,1970,26,53
1938,1938,"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt",Event Coordinator I,Suffolk,Female,White,Associate Degree,Not a Veteran,2022,1987,1,36
1939,1939,Human Services,Hum Svc Juvenile Detention Ctr,Detention Center Supervisor,Suffolk,Male,Black,Not Indicated,Not a Veteran,1996,1970,27,53
1940,1940,Police,Police Administration - Sworn,Police Captain,Virginia Beach,Male,White,Not Indicated,Not a Veteran,1994,1961,29,62
1941,1941,Police,Police Administration - Sworn,Deputy Chief of Police,Virginia Beach,Male,White,Not Indicated,Not a Veteran,1991,1967,32,56
1942,1942,Norfolk Community Services Board,Shelter and Support Services,Human Services Aide,Norfolk,Female,White,Bachelors Level Degree,Not a Veteran,2023,1993,0,30
1943,1943,Nauticus,Maritime Center - Admin,Event Support Crew Member II,Virginia Beach,Male,White,HS Graduate or Equivalent,Not a Veteran,2021,1982,2,41
1944,1944,Fire-Rescue,Fire-Rescue,Fire Lieutenant,Smithfield,Male,White,Not Indicated,Not a Veteran,2014,1990,9,33
1945,1945,Nauticus,Maritime Center - Admin,Electronics Technician II,Williamsburg,Male,White,Associate Degree,Not a Veteran,2022,1992,1,31
1946,1946,Police,Police Field Operations-Sworn,Police Sergeant,Norfolk,Male,Black,Not Indicated,Not a Veteran,1998,1968,25,55
1947,1947,Police,Police Investigative Svc-Sworn,Police Officer,Chesapeake,Male,White,Associate Degree,Not a Veteran,2018,1996,5,27
1948,1948,Norfolk Community Services Board,NCSB Homeless Project,Management Analyst II,Norfolk,Female,White,Bachelors Level Degree,Not a Veteran,2010,1963,13,60
1949,1949,Police,Police Administration-Civilian,Programs Manager,Norfolk,Female,White,Masters Level Degree,Not a Veteran,2006,1979,17,44
1950,1950,Sheriff and Jail,Judicial - Sheriff and Jail,Deputy Sheriff,Portsmouth,Female,White,HS Graduate or Equivalent,Not a Veteran,2023,1993,0,30
1951,1951,Police,Police Administrative Svc-Civl,Police Civilian Invest Tech,Hampton,Female,Black,Some College,Not a Veteran,2008,1971,15,52
1952,1952,Norfolk Community Services Board,NCSB-Medical Services,Physician,Virginia Beach,Female,Black,Doctorate (Professional),Not a Veteran,2021,1960,2,63
1953,1953,Nauticus,Maritime Center - Visitor Svcs,Visitor Services Specialist,Suffolk,Female,White,Not Indicated,Not a Veteran,1997,1974,26,49
1954,1954,Fire-Rescue,Fire-Rescue,Fire Lieutenant,Virginia Beach,Male,White,Not Indicated,Not a Veteran,2013,1984,10,39
1955,1955,Police,Police Administrative Svc-Civl,Police Civilian Invest Tech,Norfolk,Male,White,Not Indicated,Not a Veteran,1976,1957,47,66
1956,1956,Police,Police Administrative Svc-Civl,Police Civilian Invest Tech,Chesapeake,Male,White,Bachelors Level Degree,Not a Veteran,2023,1969,0,54
1957,1957,Norfolk Community Services Board,NCSB-Mental Health Svs Admin,Administrative Assistant I,Norfolk,Female,Black,Some College,Not a Veteran,2020,1971,3,52
1958,1958,General Services,General Services- Dir Office,Assistant Director,Virginia Beach,Female,Black,Masters Level Degree,Not a Veteran,2018,1974,5,49
1959,1959,Commissioner of the Revenue,Commissioner of Revenue,Deputy II - COR,Norfolk,Female,White,Some College,Not a Veteran,2001,1985,22,38
1960,1960,Police,Police Administrative Svc-Civl,Police Civilian Invest Tech,Virginia Beach,Male,Black,Some College,Not a Veteran,1986,1960,37,63
1961,1961,General Services,General Services-Parking Fac,Customer Service Rep,Norfolk,Female,Black,Associate Degree,Not a Veteran,2023,1998,0,25
1962,1962,Human Services,Hum Svc Div of Social Services,Family Services Worker I,Norfolk,Female,White,Bachelors Level Degree,Not a Veteran,2023,1999,0,24
1963,1963,Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Chesapeake,Female,Black,HS Graduate or Equivalent,Not a Veteran,2017,1955,6,68
1964,1964,Commissioner of the Revenue,Commissioner of Revenue,Deputy III - COR,Virginia Beach,Male,White,Not Indicated,Not a Veteran,1987,1961,36,62
1965,1965,Police,Police Administrative Svc-Civl,Operations Officer II,Norfolk,Female,Black,Technical School,Not a Veteran,2023,1981,0,42
1966,1966,"Cultural Facilities, Arts and Entertainment",CFAE-Cultural Affrs/SpecEvents,Project Coordinator,Virginia Beach,Female,Black,Bachelors Level Degree,Not a Veteran,2019,1993,4,30
1967,1967,Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Norfolk,Female,NS,Bachelors Level Degree,Not a Veteran,2023,1985,0,38
1968,1968,Police,Police Administrative Svc-Civl,Operations Officer II,Norfolk,Male,White,Bachelors Level Degree,Not a Veteran,2016,1972,7,51
1969,1969,Norfolk Community Services Board,NCSB-Emergency Services,Emergency Svc Counselor,Norfolk,Male,Black,Masters Level Degree,Not a Veteran,2014,1968,9,55
1970,1970,Norfolk Community Services Board,NCSB-Emergency Services,Emergency Svc Counselor,Norfolk,Female,White,Masters Level Degree,Not a Veteran,2022,1972,1,51
1971,1971,Fire-Rescue,Fire-Rescue,Firefighter EMT-P,Virginia Beach,Male,White,Not Indicated,Not a Veteran,1996,1966,27,57
1972,1972,Emergency Preparedness and Response,EOC/911,Public Safety Telecomm I,Norfolk,Female,White,Technical School,Not a Veteran,2022,1991,1,32
1973,1973,Emergency Preparedness and Response,EOC/911,Public Safety Telecomm I,Virginia Beach,Female,White,Some College,Not a Veteran,2019,1980,4,43
1974,1974,Norfolk Community Services Board,NCSB-Medical Services,Registered Nurse,Williamsburg,Female,White,Associate Degree,Not a Veteran,2023,1991,0,32
1975,1975,Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Chesapeake,Female,Black,Bachelors Level Degree,Not a Veteran,2014,1970,9,53
1976,1976,Emergency Preparedness and Response,EOC/911,Mgr ofEmergency Communications,Chesapeake,Female,White,Not Indicated,Not a Veteran,1991,1969,32,54
1977,1977,Norfolk Community Services Board,NCSB-Opoid Replacement Clinic,Administrative Technician,Hampton,Female,Black,Not Indicated,Not a Veteran,1998,1952,25,71
1978,1978,Emergency Preparedness and Response,EOC/911,Public Safety Telecomm Supv,Chesapeake,Female,Black,Not Indicated,Not a Veteran,1998,1973,25,50
1979,1979,Norfolk Community Services Board,Shelter and Support Services,Human Services Aide,Portsmouth,Female,Black,Some College,Not a Veteran,2023,1958,0,65
1980,1980,Norfolk Community Services Board,Shelter and Support Services,Human Services Aide,Norfolk,Female,Black,HS Graduate or Equivalent,Not a Veteran,2006,1962,17,61
1981,1981,Police,Police Administrative Svc-Civl,Administrative Assistant I,Norfolk,Female,White,HS Graduate or Equivalent,Not a Veteran,2021,1978,2,45
1982,1982,"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt",Event Support Crew Member II,Virginia Beach,Male,White,HS Graduate or Equivalent,Not a Veteran,2017,1978,6,45
1983,1983,Norfolk Community Services Board,NCSB-Case Management,Program Administrator,Suffolk,Female,Black,Bachelors Level Degree,Not a Veteran,1991,1960,32,63
1984,1984,Emergency Preparedness and Response,EOC/911,Public Safety Telecomm III,Portsmouth,Female,Black,Not Indicated,Not a Veteran,1994,1965,29,58
1985,1985,Commissioner of the Revenue,Commissioner of Revenue,Supervising Deputy - COR,Portsmouth,Female,White,Masters Level Degree,Not a Veteran,2016,1981,7,42
1986,1986,"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt",Ticket Sales Supervisor,Norfolk,Male,White,Some College,Not a Veteran,2015,1962,8,61
1987,1987,Fire-Rescue,Fire-Rescue,Firefighter EMT-P,Chesapeake,Female,White,Bachelors Level Degree,Not a Veteran,2014,1986,9,37
1988,1988,Human Services,Hum Svc Div of Social Services,Family Services Worker II,Virginia Beach,Female,Black,Bachelors Level Degree,Not a Veteran,2021,1981,2,42
1989,1989,Emergency Preparedness and Response,EOC/911,Program Supervisor,Virginia Beach,Female,White,Some College,Not a Veteran,1996,1964,27,59
1990,1990,Norfolk Community Services Board,Shelter and Support Services,Human Services Aide,Norfolk,Female,Black,Some College,Not a Veteran,2023,1982,0,41
1991,1991,"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt",Event Support Crew Member II,Newport News,Male,Black,Some College,Not a Veteran,2022,1994,1,29
1992,1992,"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt",Administrative Assistant II,Norfolk,Female,Black,Some College,Not a Veteran,2012,1969,11,54
1993,1993,"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt",Administrative Assistant I,Virginia Beach,Female,White,Bachelors Level Degree,Not a Veteran,2022,1990,1,33
1994,1994,"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt",Event Support Crew Member II,Virginia Beach,Male,Black,Bachelors Level Degree,Not a Veteran,2022,1998,1,25
1995,1995,Norfolk Community Services Board,NCSB-Crisis Stabilization,Administrative Assistant I,Norfolk,Female,Black,Some Graduate School,Not a Veteran,2016,1964,7,59
1996,1996,Police,Police Administrative Svc-Civl,Project Coordinator,Virginia Beach,Female,Black,Bachelors Level Degree,Not a Veteran,2016,1992,7,31
1997,1997,Norfolk Community Services Board,NCSB-Crisis Stabilization,Programs Manager,Norfolk,Female,Black,Not Indicated,Not a Veteran,2013,1954,10,69
1998,1998,Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist II,Norfolk,Male,,Bachelors Level Degree,Not a Veteran,2021,1994,2,29
1999,1999,Utilities,Utilities Water Production,Chief Waterworks Operator,Newport News,Male,White,Technical School,Not a Veteran,2017,1963,6,60
2000,2000,Police,Police Administrative Svc-Civl,Police Records & ID Sect Supv,Virginia Beach,Female,White,Masters Level Degree,Not a Veteran,2019,1959,4,64
2001,2001,Parks and Recreation,RPOS - Landscape Services,Equipment Operator II,Portsmouth,Male,Black,HS Graduate or Equivalent,Not a Veteran,2021,1978,2,45
2002,2002,Fire-Rescue,Fire-Rescue,Firefighter EMT-P,Virginia Beach,Male,Asian,Some College,Not a Veteran,2015,1990,8,33
2003,2003,Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Staff Technician I,Norfolk,Female,Asian,Bachelors Level Degree,Not a Veteran,2018,1975,5,48
2004,2004,Police,Police Administrative Svcs-Swn,Police Captain,Virginia Beach,Male,White,Not Indicated,Not a Veteran,1988,1961,35,62
2005,2005,Police,Police Administrative Svc-Civl,Administrative Assistant I,Norfolk,Female,Black,Not Indicated,Not a Veteran,1988,1958,35,65
2006,2006,Fire-Rescue,Fire-Rescue,Firefighter EMT-P,Virginia Beach,Male,White,Some College,Not a Veteran,2014,1984,9,39
2007,2007,Norfolk Community Services Board,NCSB- Mental Health Counseling,Clinical Supervisor,Portsmouth,Female,Black,Masters Level Degree,Not a Veteran,2015,1986,8,37
2008,2008,General Services,General Services-Parking Fac,Maintenance Worker I,Norfolk,Male,Black,HS Graduate or Equivalent,Not a Veteran,2019,1963,4,60
2009,2009,General Services,General Services-Parking Fac,Customer Service Rep,Norfolk,Female,Black,Not Indicated,Not a Veteran,1997,1970,26,53
2010,2010,City Council,City Council,Member Of Council,Norfolk,Male,White,Doctorate (Academic),Not a Veteran,1999,1979,24,44
2011,2011,Utilities,Utilities Water Production,Waterworks Operator I,Newport News,Male,Black,Bachelors Level Degree,Not a Veteran,2022,1996,1,27
2012,2012,Police,Police Field Operations-Civiln,Administrative Assistant I,Virginia Beach,Female,White,HS Graduate or Equivalent,Not a Veteran,2023,1972,0,51
2013,2013,City Manager,City Manager-NCJS Adlt Com Sup,Pre-Trial Probation Officer II,Virginia Beach,Female,Black,Bachelors Level Degree,Not a Veteran,2018,1980,5,43
2014,2014,Norfolk Community Services Board,NCSB-Day Health & Rehabil Svs,Case Manager III,Norfolk,Female,White,Bachelors Level Degree,Not a Veteran,2022,1996,1,27
2015,2015,Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Norfolk,Female,Black,Not Indicated,Not a Veteran,2013,1982,10,41
2016,2016,Police,Police Field Operations-Civiln,Administrative Assistant I,Chesapeake,Female,Black,Not Indicated,Not a Veteran,1994,1958,29,65
2017,2017,Police,Police Field Operations-Sworn,Police Officer,Virginia Beach,Male,White,Less Than HS Graduate,Not a Veteran,2019,1995,4,28
2018,2018,Police,Police Field Operations-Guards,School Crossing Guard,Norfolk,Male,Black,Masters Level Degree,Not a Veteran,2023,1990,0,33
2019,2019,Parks and Recreation,RPOS - Landscape Services,Groundskeeper Crew Leader,Norfolk,Male,White,Masters Level Degree,Not a Veteran,2022,1991,1,32
2020,2020,Public Works,PW Div of Streets & Bridges,"Utility MaintenanceSupv, Sr",Norfolk,Male,Black,Not Indicated,Not a Veteran,1995,1963,28,60
2021,2021,Utilities,Utilities Water Production,Waterworks Operator IV,Virginia Beach,Male,,Some College,Not a Veteran,2015,1977,8,46
2022,2022,Norfolk Community Services Board,NCSB -Forensic Jail Div,Case Manager III,Chesapeake,Female,Black,Bachelors Level Degree,Not a Veteran,2022,1996,1,27
2023,2023,Parks and Recreation,RPOS - Landscape Services,Groundskeeper Crew Leader,Portsmouth,Male,Black,Some College,Not a Veteran,2017,1994,6,29
2024,2024,City Manager,Executive City Manager,Intergovernmental Relations Of,Norfolk,Female,White,Doctorate (Academic),Not a Veteran,2015,1988,8,35
2025,2025,Utilities,Utilities Water Production,Waterworks Operator IV,Virginia Beach,Male,White,Some College,Not a Veteran,2014,1990,9,33
2026,2026,Parks and Recreation,RPOS - Landscape Services,Groundskeeper Crew Leader,Norfolk,Male,Black,HS Graduate or Equivalent,Not a Veteran,2020,1983,3,40
2027,2027,City Manager,Executive City Manager,Deputy City Manager,Norfolk,Female,White,Masters Level Degree,Not a Veteran,2017,1959,6,64
2028,2028,Utilities,Utilities Water Production,Electrician II,Norfolk,Male,Black,Technical School,Not a Veteran,2020,1978,3,45
2029,2029,Parks and Recreation,RPOS - Landscape Services,Equipment Operator III,Virginia Beach,Male,Black,HS Graduate or Equivalent,Not a Veteran,2019,1974,4,49
2030,2030,Police,Police Administrative Svcs-Swn,Police Recruit,Norfolk,Male,Hispanic,Some College,Not a Veteran,2023,1999,0,24
2031,2031,Parks and Recreation,RPOS - Landscape Services,Equipment Operator II,Norfolk,Male,Black,HS Graduate or Equivalent,Not a Veteran,2012,1991,11,32
2032,2032,Parks and Recreation,RPOS - Landscape Services,Equipment Operator II,Virginia Beach,Male,White,HS Graduate or Equivalent,Not a Veteran,2022,1985,1,38
2033,2033,Parks and Recreation,RPOS - Landscape Services,Equipment Operator II,Norfolk,Male,Black,Some College,Not a Veteran,2022,1993,1,30
2034,2034,Parks and Recreation,RPOS - Landscape Services,Equipment Operator II,Virginia Beach,Male,NS,HS Graduate or Equivalent,Not a Veteran,2022,1984,1,39
2035,2035,Utilities,Utilities Water Production,Chief Waterworks Operator,Chesapeake,Male,White,Some College,Not a Veteran,2014,1987,9,36
2036,2036,Human Services,Hum Svc Div of Social Services,Family Services Worker I,Virginia Beach,Female,Black,Bachelors Level Degree,Not a Veteran,2022,1988,1,35
2037,2037,Communications,Office of Communications,Multimedia Comm Specialist I,Chesapeake,Female,NS,Bachelors Level Degree,Not a Veteran,2022,1999,1,24
2038,2038,Norfolk Community Services Board,NCSB-CrisisInterventionTeam,Peer Counselor II,Norfolk,Male,Black,Not Indicated,Not a Veteran,2013,1968,10,55
2039,2039,Public Works,PW Div of Streets & Bridges,Construction Inspector I,Norfolk,Male,Black,Not Indicated,Not a Veteran,1997,1975,26,48
2040,2040,Parks and Recreation,RPOS - Landscape Services,Tree Trimmer II,Chesapeake,Male,White,HS Graduate or Equivalent,Not a Veteran,2016,1998,7,25
2041,2041,Police,Police Administrative Svcs-Swn,Police Recruit,Virginia Beach,Male,,HS Graduate or Equivalent,Not a Veteran,2023,2001,0,22
2042,2042,Human Services,Hum Svc Div of Social Services,Family Services Supervisor,Suffolk,Female,Black,Masters Level Degree,Not a Veteran,2018,1986,5,37
2043,2043,Police,Police Field Operations-Sworn,Police Officer,Philadelphia,Male,Black,Some College,Not a Veteran,2019,1998,4,25
2044,2044,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Chesapeake,Male,Black,Associate Degree,Not a Veteran,2014,1991,9,32
2045,2045,Parks and Recreation,RPOS - Landscape Services,Forestry Crew Leader,Norfolk,Male,White,HS Graduate or Equivalent,Not a Veteran,2014,1992,9,31
2046,2046,Police,Police Administrative Svcs-Swn,Police Recruit,Norfolk,Male,White,HS Graduate or Equivalent,Not a Veteran,2023,2001,0,22
2047,2047,Parks and Recreation,RPOS - Landscape Services,Forestry Crew Leader,Virginia Beach,Male,White,Some College,Not a Veteran,2017,1987,6,36
2048,2048,Utilities,Utilities WasteWater,Crew Leader I,Norfolk,Male,Black,Some College,Not a Veteran,2017,1988,6,35
2049,2049,Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Norfolk,Female,Asian,Bachelors Level Degree,Not a Veteran,2023,1976,0,47
2050,2050,Utilities,Utilities WasteWater,Crew Leader I,Chesapeake,Male,Black,HS Graduate or Equivalent,Not a Veteran,2015,1979,8,44
2051,2051,Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Norfolk,Female,Black,Bachelors Level Degree,Not a Veteran,2008,1991,15,32
2052,2052,Parks and Recreation,RPOS - Landscape Services,Maintenance Supervisor II,Norfolk,Male,White,Not Indicated,Not a Veteran,1995,1968,28,55
2053,2053,Circuit Court Judges,Circuit Court Judges,Legal Secretary II,Norfolk,Female,White,Bachelors Level Degree,Not a Veteran,1997,1974,26,49
2054,2054,City Attorney,Law,Deputy City Attorney II,Norfolk,Male,Am. Indian,Not Indicated,Not a Veteran,1989,1954,34,69
2055,2055,Public Works,PW Div of Streets & Bridges,Mason,Norfolk,Male,Black,HS Graduate or Equivalent,Not a Veteran,2022,1974,1,49
2056,2056,"Cultural Facilities, Arts and Entertainment","CulturalFaciities,Arts&Entrmnt",Ticket Seller,Norfolk,Female,White,Bachelors Level Degree,Not a Veteran,1998,1970,25,53
2057,2057,Police,Police Field Operations-Sworn,Police Officer,Chesapeake,Male,White,Some College,Not a Veteran,2017,1993,6,30
2058,2058,Fire-Rescue,Fire-Rescue,Assistant Fire Chief,Smithfield,Male,White,Not Indicated,Not a Veteran,1992,1963,31,60
2059,2059,Police,Police Administrative Svcs-Swn,Police Recruit,Norfolk,Male,NS,Bachelors Level Degree,Not a Veteran,2022,1999,1,24
2060,2060,Police,Police Administrative Svcs-Swn,Police Recruit,Norfolk,Male,Hispanic,Some College,Not a Veteran,2022,1998,1,25
2061,2061,Parks and Recreation,RPOS - Landscape Services,Division Head,Suffolk,Male,White,Some College,Not a Veteran,2020,1971,3,52
2062,2062,Utilities,Utilities WasteWater,Crew Leader I,Chesapeake,Male,Black,Not Indicated,Not a Veteran,1997,1960,26,63
2063,2063,Parks and Recreation,RPOS - Landscape Services,City Forester,Norfolk,Male,White,Bachelors Level Degree,Not a Veteran,2018,1975,5,48
2064,2064,Commonwealths Attorney,Commonwealth's Attorney,Asst Commonwealth's Att I,Norfolk,Female,Hispanic,Doctorate (Professional),Not a Veteran,2022,1997,1,26
2065,2065,Utilities,Utilities WasteWater,Equipment Operator III,Norfolk,Male,Black,Not Indicated,Not a Veteran,2003,1959,20,64
2066,2066,City Attorney,Law,Support Technician,Norfolk,Female,Black,Bachelors Level Degree,Not a Veteran,2019,1987,4,36
2067,2067,Parks and Recreation,RPOS Administrative Support,Management Analyst III,Norfolk,Female,Black,Some Graduate School,Not a Veteran,2019,1985,4,38
2068,2068,Police,Police Administrative Svcs-Swn,Police Recruit,Virginia Beach,Female,White,Bachelors Level Degree,Not a Veteran,2022,1998,1,25
2069,2069,Norfolk Community Services Board,NCSB-PACT,Programs Manager,Chesapeake,Male,White,Not Indicated,Not a Veteran,1989,1957,34,66
2070,2070,Public Works,PW Division of Design,Construction Inspector II,Virginia Beach,Male,White,HS Graduate or Equivalent,Not a Veteran,2017,1959,6,64
2071,2071,Parks and Recreation,RPOS-Youth Development,Youth Services Worker,Norfolk,Male,Black,HS Graduate or Equivalent,Not a Veteran,2022,2004,1,19
2072,2072,Utilities,Utilities WasteWater,Utility Maintenance Supervisor,Norfolk,Male,Black,Technical School,Not a Veteran,2015,1981,8,42
2073,2073,Parks and Recreation,RPOS-Youth Development,Rec Activity Instructor,Norfolk,Female,White,Masters Level Degree,Not a Veteran,2021,1963,2,60
2074,2074,Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Hampton,Female,Black,Bachelors Level Degree,Not a Veteran,2022,1977,1,46
2075,2075,Parks and Recreation,RPOS-Youth Development,Recreation Specialist,Norfolk,Female,Black,Bachelors Level Degree,Not a Veteran,2010,1987,13,36
2076,2076,Parks and Recreation,RPOS-Youth Development,Programs Manager,Hampton,Female,Black,Masters Level Degree,Not a Veteran,2016,1985,7,38
2077,2077,Utilities,Utilities WasteWater,Utility Maintenance Supervisor,Norfolk,Male,Black,Not Indicated,Not a Veteran,1986,1959,37,64
2078,2078,City Attorney,Law,Assistant City Attorney III,Virginia Beach,Female,White,Doctorate (Professional),Not a Veteran,2019,1982,4,41
2079,2079,Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Norfolk,Male,Black,Less Than HS Graduate,Not a Veteran,2022,2005,1,18
2080,2080,Norfolk Community Services Board,NCSB-Infant Development,Case Manager III,Portsmouth,Female,White,Bachelors Level Degree,Not a Veteran,2021,1976,2,47
2081,2081,General Services,General Services- Dir Office,Assistant Director,Chesapeake,Female,Black,Masters Level Degree,Not a Veteran,2002,1958,21,65
2082,2082,Utilities,Utilities WasteWater,Management Analyst III,Virginia Beach,Male,White,Bachelors Level Degree,Not a Veteran,2023,1986,0,37
2083,2083,Utilities,Utilities WasteWater,General Utility Maint Supv,Chesapeake,Male,,Technical School,Not a Veteran,2020,1967,3,56
2084,2084,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Chesapeake,Male,White,Bachelors Level Degree,Not a Veteran,2022,1997,1,26
2085,2085,Norfolk Community Services Board,NCSB-Executive Directors Offic,Executive Director CSB,Norfolk,Female,White,Not Indicated,Not a Veteran,1994,1968,29,55
2086,2086,Norfolk Community Services Board,NCSB-Financial Management,Accounting Technician II,Norfolk,Female,Asian,Bachelors Level Degree,Not a Veteran,2022,1989,1,34
2087,2087,Human Services,Hum Svc Juvenile Detention Ctr,Administrative Technician,Norfolk,Female,Black,Bachelors Level Degree,Not a Veteran,2017,1966,6,57
2088,2088,Norfolk Community Services Board,NCSB-Case Management,Case Manager III,Chesapeake,Female,Black,Bachelors Level Degree,Not a Veteran,2022,1990,1,33
2089,2089,Utilities,Utilities Water Distribution,Utility Maintenance Mech I,Norfolk,Female,Black,HS Graduate or Equivalent,Not a Veteran,2006,1988,17,35
2090,2090,Police,Police Administrative Svcs-Swn,Master Police Officer,Virginia Beach,Male,Asian,Not Indicated,Not a Veteran,1994,1973,29,50
2091,2091,Norfolk Community Services Board,NCSB-Intake,Nurse Practitioner,Norfolk,Female,White,Masters Level Degree,Not a Veteran,2014,1956,9,67
2092,2092,Norfolk Community Services Board,NCSB-Intake,Psychiatrist,Norfolk,Female,Asian,Masters Level Degree,Not a Veteran,2020,1969,3,54
2093,2093,Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Newport News,Male,Black,Masters Level Degree,Not a Veteran,2015,1970,8,53
2094,2094,Fire-Rescue,Fire-Rescue,Battalion Fire Chief,Chesapeake,Male,White,Not Indicated,Not a Veteran,1993,1972,30,51
2095,2095,Commonwealths Attorney,Commonwealth's Attorney,Asst Commonwealth's Att I,Norfolk,Female,White,Doctorate (Professional),Not a Veteran,2022,1985,1,38
2096,2096,Commonwealths Attorney,Commonwealth's Attorney,Asst Commonwealth's Att II,Virginia Beach,Male,White,Doctorate (Professional),Not a Veteran,2022,1971,1,52
2097,2097,Human Services,Hum Svc Juvenile Detention Ctr,Cook,Norfolk,Female,White,Some College,Not a Veteran,2019,1994,4,29
2098,2098,Utilities,Utilities WasteWater,Maintenance Worker II,Chesapeake,Male,Black,HS Graduate or Equivalent,Not a Veteran,2022,1995,1,28
2099,2099,Parks and Recreation,RPOS - Landscape Services,Groundskeeper,Norfolk,Male,Black,Some College,Not a Veteran,2023,1982,0,41
2100,2100,General Services,Gen Srvs-PublicInfrastructure,Operating Engineer II,Portsmouth,Male,White,Associate Degree,Not a Veteran,2016,1959,7,64
2101,2101,Commonwealths Attorney,Commonwealth's Attorney,Asst Commonwealth's Att I,Cobbs Creek,Male,White,Doctorate (Professional),Not a Veteran,2022,1995,1,28
2102,2102,Parks and Recreation,RPOS - Landscape Services,Maintenance Mechanic I,Portsmouth,Male,Black,Some College,Not a Veteran,2022,1974,1,49
2103,2103,Norfolk Community Services Board,NCSB-Case Management,Case Manager IV,Chesapeake,Female,White,Masters Level Degree,Not a Veteran,1991,1968,32,55
2104,2104,Parks and Recreation,RPOS - Landscape Services,Maintenance Mechanic I,Norfolk,Male,Black,Not Indicated,Not a Veteran,2018,1970,5,53
2105,2105,Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist II,Chesapeake,Male,Black,Masters Level Degree,Not a Veteran,1996,1960,27,63
2106,2106,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Norfolk,Male,White,Some College,Not a Veteran,2022,2001,1,22
2107,2107,Norfolk Community Services Board,NCSB-PACT,Case Manager IV,Hampton,Male,Black,Not Indicated,Not a Veteran,2012,1985,11,38
2108,2108,Parks and Recreation,RPOS - Landscape Services,Athletics Groundskeeper,Suffolk,Male,Black,Some College,Not a Veteran,2022,2002,1,21
2109,2109,Fire-Rescue,Fire-Rescue,Firefighter EMT - Advanced,Chesapeake,Male,White,Some College,Not a Veteran,2020,1992,3,31
2110,2110,Libraries,Branch Operations,Library Assistant II,Portsmouth,Female,Hispanic,Bachelors Level Degree,Not a Veteran,2022,1986,1,37
2111,2111,Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Norfolk,Female,Black,Bachelors Level Degree,Not a Veteran,2012,1986,11,37
2112,2112,Parks and Recreation,"Rec,Parks,OpenSpace-Rec Center",Recreation Aide,Chesapeake,Male,Black,Bachelors Level Degree,Not a Veteran,2021,1998,2,25
2113,2113,Commonwealths Attorney,Commonwealth's Attorney,Asst Commonwealth's Att III,Chesapeake,Female,Black,Doctorate (Academic),Not a Veteran,2017,1968,6,55
